№,№,ID ,Scientific name,Russian name,Uzbek name,English name,IUCN  status (2025-1),Uzbekistan Red Data Book (2019),CITES,Endemism,Andijan region,Fergana region,Namangan region,Tashkent region,Syrdarya region,Jizzak region,Samarkand region,Kashkadarya region,Surkhandarya region,Bukhara region,Navoi region,Khorezm region,Karakalpakstan
"39,2","41,2",0033050281,"Eremias scripta pherganensis Szczerbak & 
Washetko, 1973",Ферганская песчанная ящурка,Фарғона қум калтакесаги,Ferghana Sand Racerunner,,1(EN),,"UZ, TJ",Х,Х,Х,,,,,,,,,,
"39,3",42,,"Eremias lasdini (Tzarevsky, 1918)",Ящурка Лаздина,-,Lasdin's sand Racerunner,,,,"UZ, TJ",,,,,,,,,Х,,,,
40,43,,"Eremias velox (Pallas, 1771)",Быстрая ящурка ,Тез калтакесакча ,Rapid Racerunner,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
"40,1","43,1",0033052753,"Eremias velox velox (Pallas, 1771)",Быстрая ящурка ,Тез калтакесакча ,Rapid Racerunner,,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
"41,1",44,0033070291,Varanus caspius (EICHWALD 1831),Среднеазиатский варан,Бўз  эчкемар,Caspian Monitor,,2(VU:D),I,,Х,Х,Х,,,Х,Х,Х,Х,Х,Х,Х,
42,45,,"Xerotyphlops vermicularis (Merrem, 1820)",Червеобразная слепозмейка,Кўрилон,Eurasian Blind Snake,LC,,,,,,,,,,,,Х,,,,
43,46,,"Eryx miliaris (Pallas, 1773)",Песчаный удавчик,Қум бўғма илони,Desert Sand Boa,LC,,II,,,,,,,,,Х,,Х,Х,Х,Х
,"46,1",0033080301,"Eryx miliaris miliaris (Pallas, 1773)",Песчаный удавчик,Қум бўғма илони,Desert Sand Boa,,3(NT),II,"UZ, KZ, TM, RU",,,,,,,,Х,,Х,Х,Х,Х
44,47,0033080311,"Eryx tataricus (Lichtenstein, 1823)",Восточный удавчик ,Шарқ бўғма илони,Tatary Sand Boa,LC,3(NT),II,"UZ, KZ, KG, TM, IR, 
CN, MN, TJ, AF",Х,Х,Х,Х,Х,Х,Х,Х,Х,,Х,,Х
"44,1","47,1",0033080311,"Eryx tataricus tataricus (Lichtenstein, 1823)",Восточный удавчик ,Шарқ бўғма илони,Tatary Sand Boa,,3(NT),II,"UZ, KZ, KG, TM, IR, 
CN, MN, TJ, AF",Х,Х,Х,Х,Х,Х,Х,Х,,,Х,,Х
"44,2","47,2",0033080311,"Eryx tataricus speciosus Tsarevsky, 1916 ",Белобрюхий восточный удавчик ,-,-,,3(NT),II,"UZ, TJ",,,,,,,,,Х,,,,
45,48,,"Boiga trigonata (Schneider, 1802)",Индийская бойга,Бойга,Indian Gamma Snake,LC,,,"UZ, TJ, TM, IR, AF, 
IN, PK",,,,,,,,,Х,,Х,,
,"48,1",0033090321,Boiga trigonata melanocephala (ANNANDALE 1904) ,Черноголовая индийская бойга,Ҳинд бойгаси,Indian Gamma Snake,,2(VU:R),,"UZ, TJ, TM, IR, AF",,,,,,,,,,,,,
47,49,0033092773,"Hemorrhois ravergieri (Menetries, 1832)",Разноцветный полоз ,Ранг-баранг чипор илон,Spotted Whip Snake,LC,,,,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х,Х
48,50,,"Platyceps karelinii (Brandt, 1838)",Поперечнополосатый полоз,"Қўндаланг-йўлли чипор 
илон",Spotted Desert Racer,LC,,,,,X,,,Х,Х,Х,Х,Х,Х,Х,Х,Х
49,51,,"Platyceps rhodorhachis (Jan, 1863)",Краснополосый полоз ,"Қўндаланг-йўлли чипор 
илон",Jan's Cliff Racer,LC,,,,,Х,Х,Х,Х,Х,Х,Х,Х,,Х,,
